reviewerID,reviewText
A16W9LA4OO54OT,I love it 
A16YCW3GFR4YIO,Kids enjoyed the cards
A17AHR1UR3CGY,convenient and cute way to send Christmas gifts
A17K0NVB2ZXH88,Item not as described nor as pictured They sent me two totally different mounts that were much shorter in width and overall dimensions
A17NG83RM54IK2,The presentation Fast delivery
A17S6MFBZP92MX,Arrived on time and worked properly
A17ZOE6WOK46OQ,Didnt get  gift card
A184GE9K18W8PM,Perfect last minute gift for a family member that is very picky Amazon has everything
A1861LN5Y4RUT5,Very cute
A186CS9TXTNK2N,Received multiple gift cards that were unredeemable
A18817655K7RHK,Now they can get what they realm want
A18GCSCVCOAK7G,Perfect little birthday gift and comes with its own card  Person I purchased it for thought it was a really cute idea
A18O0X9VV2TGBZ,Getting this was so simple  It made an adorable gift too  Its very nicely packaged in that cute little polka dot purse
A18TDPBXS3HYF5,Perfect for grad party gifts  Cute too
A18URVVDCOZ394,Packed in a special box that is perfect for giving  Thank you Nice gift box to accompany the gift card
A18XC5CV3RJXKQ,It was a good choice for a nice gift card presentation  The tin can makes it more unique and special
A19JA9C9ICNN8K,Finally got use it Dont know if it works seller didnt fund the card
A19L6S425CZ8Q7,Very nice item
A19LH7RKNA3TBO,"I received this from the company that I bought a product from
it was an unexpected surprise as there was a shipping delay and before I was aware of anything they took charge and apologized as well as sending the gift card
Every seller should live up to these standards
Thank you"
A19OB959094HLP,Quick and easy to use in store
A19ZI7IGF6NX59,As always I was satisfied
A1A0KQSG82ADT5,Convenient and customer friendly It is so easy and the recipient  gets what they want Love it Phil
A1A2SMZY903ZKC,This item arrived in Louisiana as promised for a Christmas gift  Daughterinlaw gets star buck coffee everyday on the way to work
A1A7LDHSC8O3A7,Good deal on JCP card  off
A1AFFLKSMNANN5,Cute Santa gift card holder Liked that the card poppedup
A1AL6DO21KHXY1,Cute packaging perfect for any occasion
A1AT5IDSE81RCE,Amazon always delivers  in a timely manner  Recipient loved his gift Card
A1AY9EXRCAX4ET,Everyone loves the little Amazon delivery box wraps nicely 
A1AYRFUOL5IGP8,Gift Card
A1B01OYLP0MI3M,Great gift for the ones you dont know what to get Lovely festive tin  free  day shipping was a HUGE BONUS Thanks Amazon
A1B0CCHM06GK7M,Great gift for the guy who likes to choose his own
A1B24DAYFVVNVJ,looks nice i wish it is all wood colored so I can use it for a classier display
A1B7H2ZFARGC1W,I got one and got ripped off I paid  for it and only got  on my kindle Also on the back it said NO service fees It stinks
A1B815ZYYYPKZF,Amazon Gift cards are always popular as gifts
A1B8NJXA6MQ71T,Nice cards and they come in a nice box Great gifts
A1B9D3DFZ9PTHV,I use these cards as gift cards I havent met anyone yet that does not enjoy cheesecake from the Cheesecake Factory
A1BCIJB2GRAHPP,You cant order this card on telephone at store  I was so happy to order  of these cards as a holiday gift  It was so convenient
A1BD41F3OWFRYL,The card is very cute and who doesnt like a puppy around Christmas
A1BJK7VORHAB6A,There was no indication that the gift was from me  Fortunately it was for my son and he guessed it was from me
A1BYJOYHG7EPEK,Easy way to order movie gift cards
A1C29LSWLT2H4D,I purchased this to give as a gift  The paper the card is attached to is ripped and part is missing  I checked the balance and it was good but I cant believe that they sent me the card the way it was  Didnt think to make a special request to have the backing intact  now I know
A1C362IXZGRS4K,The recipient loved it  Thank you
A1CF8I86HZEYOH,Purchased this card as part of an Amazon promotion It was delivered expediently to my inbox and there was no issues with redemption I would purchase again
A1CHP3O3L0YGEZ,This was a gift for my husband and he now just keeps refilling it it is conveint for him
A1CP75N61T0ZYY,If you arent sure what to buy for someone the Amazon gift card is your best bet  You can buy any amount youd like and if you choose the pretty Snowflake tin it makes the gift extra nice and the tin can be used to hold small things like paper clips etc  Each year I buy several of these for friends this is a much safer bet than assuming I know their taste in all things I dont so this is a real winner and they can select items theyd really love to have  Easy to purchase too with Prime arrives in two days
A1D1UMWXMJQOY,Such a nice presentation for the gift card It looks special and arrived very promptly The container is very pretty and helps the card not to get lost I would buy this again for a holiday gift
A1D2UACWUF2FLA,You cant go wrong with a Lord  Taylor gift card  Lord  Taylor has a great variety of quality clothes shoes and jewelry  It is a great gift Great gift  Talbots has beautiful clothes accessories and shoes  Great gift for ladies I love to give these as presents  My family loves to use them to buy just what they want on Amazon  Highly recommend This is a great gift  Everybody loves it  Highly recommend
A1D4KSGPOKCPTZ,Very quick and easy  Can send directly to their home and almost overnight  Everyone loves that they have the option to spend on whatever they want I actually just got to give this gift yesterday  Love the way the gift card comes wrapped as a present  So easy to get quickly  I use them frequently
A1D6UP1OZTH3FU,You can never go wrong with gift certificates and what a festive case
A1DA1HMUBUCCER,What can you say about a gift card  Its just that and was spent well
A1DHU4U0KAWV60,Amazon gift cards are a wonderful idea for the I dont know what to get you friends  Love them  And so do the recipients
A1DLU8ZXTDNBT,It was a birthday gift Could have been a little more exciting of a card
A1E2U99J6TTRET,Gift box damaged on the inside Doesnt pop like it should
A1E51BV5BPAADB,This was a perfect gift I gave it to my mother for Mothers Day and she uses it all the time to get coffee Perfect gift for my brothers birthday because he likes burgers and food so it was the easy choice to get it for a gift
A1EFJRO018MTEI,Great Packaging Receiver was very happy
A1EW5T4P4EA5U8,Its fast its personal its easy and was totally appreciated by the people who received them Works wonderful for that last minute gift you forgot to send especially for those who are long distance
A1F022GE3LCJHC,Great product at great price
A1F1UV2BETK3E0,Who wouldnt like one of these  I gave one to all my kids and their mates for Christmas  We are all big into Prime Love it  Great gift
A1F2MTA9A8ESLO,No issues receiving the gift card or using it Received the code in about  minutes and had no issues using it No issues receiving or using the gift card
A1F2SYLQ3I76GC,Received birthday card with Amazon card  Thank you Beverly Owen
A1F96WACLZFDQF,Great Product
A1FEF43EQVIX54,is there a way to check this card if it got used i had it under the tree and some one took it if so then i will no who took it
A1FGWNDKGDDL89,Great and easy gift purchase  Nice quality card too  Would definitely purchase again Easy purchase that everyone likes to receive  The snowflake tin is a nice touch and eliminates the need for wrapping
A1G2CE9GE2F2WC,I absolutely loved this gift card and box  It was perfect  So very well made and cute  Id definitely buy it again and try the other gift card boxes Amazon has  Great gift
A1G3BUQN1J6VWK,Everyone was pleased and all commented on the cute popup  Thank you for my holiday shopping so easy with everyone satisfied
A1G3TBA4V1UN2B,Do not buy a gift card from this company  I bought this for my niece for xmas and I just received a call from my sister saying she tried to use it at a Hollister store and it was rejected because it was not activated
A1GBB14X2RBPZ2,cant go wrong love the wings
A1GHE04GAS0X1K,Simple and yet very nice gift to get in this form  I liked getting the actual card in the box with the bow as opposed to just an online certificate  What else can I say about a gift card
A1GRCO8FEYVZA2,"Its a gift card Its a sweet little brown and blue box Its a sweet little brown and blue box WITH A GIFT CARD INSIDE

In truth it can be anything you want It can be a bag of dog treats or a pack of ZeroWater filters or that KitchenAid mixer attachment youve had your eyes on or a fidget spinner or a pack of tshirts or a  wait  screw the fidget spinner It can be the th Anniversary Sgt Peppers Lonely Hearts Club Band Deluxe Edition

All that in a sweet little black and brown box Happy Dance Time"
A1H6JWNZV9QJMC,I would love to buy more of these through daily deal I saved  off of the already reduced price at Catherines
A1H7LK58CQDXGB,Makes the giftgiving part of Christmas sooo easy
A1H88MQ9WVQYA5,It is a gift card it is all it is supposed to be
A1HF5YDYDFVSBZ,Can not find this amount on gift cards in the stores so these were perfect for my budget My friends will be very happy when they receive them
A1HFNR2ZEO2G79,I ordered and only got 
A1HFPJUEVSMKTE,Wasnt sure what to get for a White Elephant Christmas party Gift last year  This one was a hit  Got stolen quite a few times  
A1HPLSLB5MFEJG,I liked that these arrived shortly after I ordered them  The recipients were very pleased everyone I know including me loves Amazon  Love that they dont expire  Wish there was a slight price break on  purchase
A1HU3VCV224FLZ,I got my sister a new Kindle Fire for Christmas and what a perfect bonus gift to help her get started with some new books and movies
A1HYABQF3CK0UV,good product  arrive as advertised  arrived on time  good seller  thanks
A1I20JVAXKC7C1,Great giftprompt delivery
A1I5OO16CMEOM6,Thank you for the cute card option
A1I7DR0BF8S9YR,Was purchased for my granddaughter who was working in Maryland and this was part of her leisure enjoyment package Was purchased for my granddaughters godmother who enjoys eating at that establishment in Maryland
A1IANC72OPQOC8,Gift card looked great in the tin
A1IJAYV7XM5MRQ,what is there to say about a gift card It came and it was easy to load to my account and use I received this at a discount without requiring a review but I am giving one anyway If you can get this at a discount or just get one as a gift for someone go for it Everyone uses Amazon so if you dont know what to give as a gift give the Amazon gift card
A1ILRFCY8EGQWG,Perfect Cards went over well
A1J70W65V48SJB,ordered one  gift card was charged and sent two  cards
A1JH4GF48VJWXO,My two older sons returnor try to return any item I get them for special events  They have asked for an Amazon gift card for years and this year I listened  Now I am the cool Mom  Perfect gift for anyonepicky buyer or not  My shopping for any future events will now be fun and easy  My daughterinlaw wants to join the card gift club too 
A1JPUDWSWEY5TU,I ordered this gift card believing I would get a  gift card for   NOPE  Gift cards value was   Just wrong to advertise this way
A1JRYPNK8JZNBC,"When I need a gift quickly that I know ANYONE will love  I always come back to these  The gift cards come in so many different amounts and styles you are sure to find the perfect one for everyone on your list

What I also love is most of these come with one day shipping Lets face it  Im a procrastinator I love that I can order at the last minute and the next day I always have the prefect gift I have even introduced new people to Amazon and once they start and they become Amazon customers for life  You cant beat the ease of ordering mostly anything you need and having it be delivered to your front door

I only wish my loved ones and friends would send me Amazon Gift Cards as a gift They would sure come in handy"
A1KF5REVKQUUB2,Love these gift cards Great for gifting and I love how easy it is to load into your account for immediate use Always appreciated when I gift these
A1KHENTPYHXC3J,Gift card came exactly as advertised
A1KN66SR8MLC3Z,though it came in the mail next day which was nice  it was supposed to be in a tin shaped like a snowflake Instead it was in a box with a ribbon Nicebut no snowflake tin
A1KRY27MSM6A71,Works
A1L155HJKLPYA3,Great gift for a teenager
A1L4JEFPJWDMJW,What is better than a pretty container with an Amazon gift card  I knew it would not be returned or exchanged
A1L9MRTD9YLT1G,I dont think I need to say anything else Best gift ever
A1L9O8FL2REQTE,I ordered two of these cards for my mother and brother on December th and they received it six days later I have no complaints I ordered this card for my brother on December th and he received it on the th I have zero complaints I ordered this card for my mother on December th and she received it six days later I have no complaints
A1LB319KM0W8PG,The ornament tin was an attractive ornament on the Christmas tree
A1LE8QNFUHU49H,Nice to get and nice to give  Happy people all around They are happy and I am happy  Winwin  My granddaughters are getting to the age where they like to a choose things for themselves  This way I dont spend time and money selecting something they hate
A1LMZJHTTIOV58,Free teddy bear with the gift card Cant complain about that
A1LWX3P7ELY72X,well received card in a a timely manner but when card was used at burger king had difficulty at register would not give burger king gift card again
A1M52R18Y7SQX1,the Christmas gift I know they use
A1M5O6R2BDJMD,This was purchased as a Christmas gift and I was impressed with how nice the box was  Theres nothing as great as an Amazon gift card
A1MAEHB9R1ARZS,These were the best back to school gifts for my girls teachers
A1ME1WG4E02M4Q,How easy can this be  Amazon way to make my life that much easier  Texas Roadhouse    Cant go wrong
A1MFVAHTT2BHM0,"Amazon seals the deal with me again by providing a quick and easy solution for stocking stuffers when out of the country The best part about this is that you are able to purchase a gift card wrapped in a little box which is in turn physically shipped quickly to the person of your choice all for the price of the gift card value This is simply amazing Makes me wonder if I should purchase these gift cards for myself so I can collect all the little boxes

Maybe not

But if you have time and you plan on getting someone a gift card dont bother with the online edelivery system take advantage of Amazons good graces and get one of these gift cards shipped instead At least it wont seem like it was something lastminute which lets face it it probably was"
A1MS1M0IZKE08I,My team loved this super convenient to lowes
A1MXQTKBJIQDFP,Boxes dirty scuffed and not giftworthy How badly can you mess up a box Jeesh We bought  and the boxes were all marked up and dirty I cant even wipe it off
A1MY7RUR07VWSB, off
A1N35UTV9RUH6Q,Arrived on time and exactly as advertised
A1NC6PZHJ8WPPP,If your not sure what to get people try a gift card
A1NGV4WWKZTKDW,I ordered it and it worked perfectly and arrived in literal minutes I was rlly scared bc of of other bad reviews but it worked great for me Idk what problem they could have had tbh it seemed simple enough I did delete the spaces inbetween the card  so idk if that helped Also it didnt look like the card worked on Sephora but once I clicked check out it went right through
A1NGX0TLOB99V3,These were perfect to give as gifts to employees and I liked the presentation of the low profile card holder
A1NUDJ09H1G598,Came in elegant looking box secure and tamper resistant inner wrapping My grab bag recipient was very happy to have gotten it No need for additional gift wrap or bows to make it look gift ready
A1O628VOT9YNPE,Beautiful card The size is about right Not too big or small Amazon makes it so convenient Definitely buy again
A1O774FGX7BTHB,NICE GIFT IDEA
A1O7PE9AM651J6,Was  for    Legals really is a great restaurant not cheap but you absolutely get what you pay for
A1OA65HXZIINHR,I love love love receiving an Amazon gift card ANY time  Christmas birthday anniversary Valentines Day whenever I dont always use it right away but love to just keep a running gift card balance in my account and then feel free to come to Amazon to shop when I think of something I wantneed Combine a gift card with Amazon Prime worth every penny and its less expensive to shop via Amazon than to use the car and eat up expensive gas Amazon gift cards are always at the top of my wish list and makes shopping for me so easy for my husband
A1ODRORDRN0M2Q,I was very please with amazon it was fast an on time an my GodSon was very happy so he can purchase video games of his chose
A1OI78KM3DFBLI,This is so cute a gift card in a shipping box hope my friend likes it
A1OLOT55PLQEX6,A good use of my reward points
A1OVA4LL0XAJCA,Great Christmas or winter gift card Amazon gift cards are always a good choice when unsure of what to buy someone as a gift
A1PKO052Y0J9F9,Very classylooking packaging
A1PMMZ28F4G1A0,Given as a gift Recipient had no problem retrieving
A1PQ9LQNIBP1K1,Birthday boy loved it
A1PR5VHGBXEH2Q,They work perfectly literally overnight They are delivered on Sundays The most professional service Worthwhile  For my mother Good product high quality
A1PRYOXU54DDBD,Adorable box has a little magnet on it Came in one day Arrived quickly Just adorable
A1PUH21PXVNYTW,The container was a fun way to give the gift
A1Q1MC4HSUUEXV,Charger battery was indefinitely red while attempting to charge never any indication it completed charging Attempted to use the next day on my commute home and it would not charge my galaxy S I feel like I just had some eWaste dumped on me
A1Q202H0B2C9QN,Arrived quickly and as expected
A1Q4ME7IBT7P29,Excellent Product 
A1Q7JSL7GSN5A,Easy way to send last min gifts
A1QA8CUCE6TD74,Fast and convenient
A1QC1C545QHNZG,In a nice and good looking light metal box Feels like a real deal gift Perfect design and style it is a gift card so nothing specific to say Delivered in Timely Manner Best thing is I was able to get as much as I can You can define how much you wanna gift it
A1QI80HC20L46D,Love the cupcake hider for the card Received the next day
A1REACG0E8DG95,Perfect gift easy to send Brought some smiles
A1RHY4DY1TDCX9,Excellent purchase
A1RMF91P42HZTV,This is such a cute way to give a gift card At no additional cost to the card I can put this in a bag and its much more fun than just and envelope in a card
A1S2W38W3VUYUQ,Who doesnt love gift cards
A1S47TP7FDMJAK,It is everything that I expected
A1S4T48X48N7DU,Like Applebees and card was a good deal  I read a comment that they did not receive a card with full value on it  I checked mine when received and it was for the full amount of 
A1SABV9RJHBSQW,Cant really mess up a gift card
A1SDQGM4OHH6T4,The gift card arrival was prompt and just like it was shown
A1SHW7F4RD7ND7,I like the design
A1SQ7VKA3VWA2R,The gift box the card came in was a nice touch  At Christmas folks preferred it to the standard cardinsideenvelope way of delivering these things  Looked like a classy gift
A1SXBCCPSQU1B5,I gave out two this Christmas and the box was a big hit
A1TKT44HPRBZQ7,Just what ge birthday boy wanted and he got yo open the box
A1TKXBL03RDLFO,Okay Christmas gift it was a gift card
A1TZGXYGYXXSML,Was delivered as expected
A1U2K5FXR3ML6C,Awesome very quick delivery and just had to show my phone at Olive Garden to pay
A1U2Q99DFDVF54,Cant disappoint with these I love the cute tin You can use it for earrings
A1U6SKVVHEJZ1Q,adorable little box with magnetic closure pretty cool that it comes free with the gift card purchase cute box free of charge with amazon gift card  perfect gift for people with very specific taste  whatever they like amazons probably got it 
A1U85JE4JJSRRQ,Luckily I bought them when it was   now it goes up to  if you want this little white bear But I have to say the quality is good very soft
A1U9YR7IATD490,Gave these to a fundraiser but am sure they were appreciated
A1UCN77OM1TUPK,Very nice presentation  Put it in a card for a baby shower and it was a hit
A1UEJV7UMOX70,Who doesnt prefer a gift card these days Already started my Christmas shopping Gift cards are the best Bought this on Prime Day so I will get a gift of  on my account Can not beat that deal Happy Shopping
A1UI7HH5IBAXKW,Absolutely the best way to gift
A1UPDGTHCCZ0IL,just like it looked
A1UW1TUNRQKTF0,Its a gift card It worked What more can you say
A1V0PVGIZO36BW,How can you not love spending  to get  at a store you shop at regularly Easy decision
A1V0RGVSQBI1LR,Who can go wrong with a gift card  Slipped it inside a wallet with a couple lotto scratchoff  He was very pleased
A1V0V7HGFFGGDU,Ordered this with Alexa and got  back during an Amazon promotion Fantastic I like that Amazon points do not expire
A1V3K5MQ38RWFI,The recipient was extremely happy with his gift card
A1V6BHZM8MXUXP,Wasnt sure what to get my older grandchildren for Christmas Started getting them Amazon gift cards several years ago and they look forward to getting them every year for Christmas and birthdays 
A1V6HQU4HK2CIS,"These are perfect when you realize you want to give a gift card but dont have time to go to the store  Every year I give gift cards to my office staff as presents  Amazon included some sample cards with one of my purchases this past season and after using them there is no going back  I love being able to activate them in the convenience of my own home and not worry about a cashier rushing and making a mistake  Also it is sometimes nervewracking walking back to the car with hundreds of dollars worth of gift cards  So I have been adding a couple packs of these to all of my recent orders just to have on hand  They are slightly slimmer than the ones you purchase in a store and thus easier to mail as another customer mentioned

The only downside is that the graphic design is very basic particularly relative to this years Target gift cards that have LED lights flashing inside of them  Hopefully Amazon will continue to offer these in the future with holiday theming"
A1VA2H24FAIEIL,i love pancakes so yummy that was some great subway
A1VAT9DTX3XH3S,Loved this gift card holder Love that it has moving parts Gift card recipients thought they were adorable holders
A1VCV2W4VJ9VN0,Gift cards are great especailly from Amazon Just like case  Whats not to like
A1VS6Y1KZIFXBY,I got these as a gift for our flag football intramural winners very manly style They liked it Very Shinny and looks great in a gift basket Amazon always does  a great job on these on GC packaging they always look so cute and festive Everyone who received a GC that I gave was happy with the decoration Very cute
A1VT9SPOA3F7HK,A very nice size for Wedding cards decorated it with deco mesh tubing ribbon and flower petals  It turned out real cute
A1VU5WUAT2G8J8,Great purchase that I was able to use right away
A1VUXLZESJ6CT8,I loved the deal on this card Used it AR Catherines with my perks points and really saved money
A1W623SLY3LBX8,Worked easily
A1WGVPBQ34CNF4,Not sure why I need to review the Amazon gift cards but for the presentation and free one day shipping it is the best in then business Amazing gift card It makes me feel like I have unlimited spending The exterior tin was very sleek and sexy 
A1WMAE0J5VYKWW,I love ordering gift cards from Amazon  They always come in a nice card and are truly appreciated by the recipient  Also Amazon has such a good selection of cards to choose frommakes gift giving so easy
A1WMWM42LEUMGV,Great item
A1WYZE208I2OH7,Love it Used it right away
A1X1S73CJHHE9Z,Love it and plan to used on Friday
A1X4JULCUAD4D2,what a great gift idea this card came in under  days no fee I will be getting more in the future
A1X5G46F6E4Z95,Great item
A1X8EJ4K7D3HUS,Ordered gift card Got gift card Gave to my brother Gift card worked in the store As expected the end
A1X8KLUU10E2W9,I purchased gift cards for my staff and it was the best thing I could have done  They each were abe to purchase something they really wanted from a company that has everything  Great gift decision
A1XE9CJ16DR8EE,My Kids really took advantage
A1XF2N3P9X2Q3D,VERY NICE TIN giving this as a gift WITH THE gIFT cERTIFICATE ENCLOSED
A1XSA717LRG7MS,This card was great for scrapping my windshield  would buy again
A1XXAPTZI9V7YF,This is my go to for birthday gifts being given to siblings and such I particularly enjoy the option to pick a card for a certain situation Even the generic happy birthday card look is better than getting some random clever birthday card at the typical card store I think most people would prefer this with a amazon gift card inside than some predetermined catchy birthday card
A1Y27V9ZFTB1YG,Light gift with nice packaging Code on the card is easily scanned and money on the card is credited to the account
A1Y4XR3YY8DY2T,Love the Christmas Nativity design
A1Y5O6JG7DGN7F,this was a giftwhat she asked fo
A1Y5WVEUTZSQYF,The Gift Cards were a big hit with our company contest winners over summer
A1YC89WAHGTE63,Happy with it
A1YDI2QNLGEHFN,This card is always good to give any female  Many choices in this store I think an Amazon gift card is a great idea You can buy anything on Amazon Received as requested
A1YJ6J7LHV0UXU,a gift card allows someone to utilize the card toward a purchase of the thousands of items offered at Amazoncom It lets the card holder make the choice of something he or she wants They are happy and I am happy  No Brainer
A1YYHI1P56B2JU,Yeah  worth of Starbucks is pretty great
A1Z7FZP81N8CDU,I got the thank you card and its pretty nice compared to the ones in the store There is no next in it when you get it so you will need to write something in it Got two of these  gift cards was worried that they would not work based on what some reviews said However I had zero problems with these gift cards All of them had the full balance
A1ZE8MUOYW1WBZ,Super cute box and shipped quickly
A1ZQ3M4NSQGNUL,Daughters gift so she can download kindle books
A1ZSELOMGZ6QZU,Great deal during a flash sale superfast Amazon delivery
A1ZSVEUE12AAQ3,If a gift card has the balance you purchased I guess it gets five stars Its absolutely amazing I bought this gift card for a  value and when it arrived it had  credit value on it Can you believe it Nice to see a product that works these days And yes I a being sarcastic Do we really need to rate a gift card Its absolutely amazing I bought this gift card for a  value and when it arrived it had  credit value on it Can you believe it Nice to see a product that works these days And yes I a being sarcastic Do we really need to rate a gift card Its absolutely amazing I bought this gift card for a  value and when it arrived it had  credit value on it Can you believe it Nice to see a product that works these days And yes I a being sarcastic Do we really need to rate a gift card If a gift card has the balance you purchased I guess it gets five stars When a gift card arrives with the value you purchased I guess it gets  stars Its absolutely amazing  I bought this gift card for a  value and when it arrived it had  credit value on it  Can you believe it  Nice to see a product that works these days  And yes I a being sarcastic  Do we really need to rate a gift card
A1ZT87Y3BY7N44,Perfect gift for shoppers
A1ZV01DKI73X8K,Awesome price And you can jazz it up if you want  I placed a few quality fake peonies on top  Was really lovely
A1ZYDI2XD0HCIS,Very satisfied Thanks Always satisfied
A202ANMY5O4XXG,Very secure method of using gift cards Redemption process was seemless I would recommend anyone gifting these cards They are like prepaid visa cards without the  administrative charge
A2099JO0U2W7FQ,Cant go wrong with a gift card and it came late but Amazon gave me a credit due to the error
A20B25Q3M6870M,I was very impressed with how easy the process was
A20C2NNDNC007,In case anyone wanted to know there is no expiration date anywhere on the card or on the packaging The card worked fine at my Regal Theatre
A20I4XBEOUJHHO,I was skeptical because of reviews but my gift card worked fine
A20IQN5J9Z3I5N,I love it because I got  back for buying this for fathers day  
